species	TD	non_TD	absolute_latitude	elevation	GHM	population	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	peo_bio1	peo_bio2	peo_bio3	peo_bio4	peo_bio5	peo_bio6	peo_bio7	peo_bio8	peo_bio9	peo_bio10	peo_bio11	peo_bio12	peo_bio13	peo_bio14	peo_bio15	peo_bio16	peo_bio17	peo_bio18	peo_bio19	vapr	wind	srad	npp	ALUM_SAT	BSAT	BULK	CEC_CLAY	CEC_SOIL	CLAY	CN_RATIO	COARSE	ELEC_COND	GYPSUM	ORG_CARBON	PH_WATER	REF_BULK	SAND	SILT	TCARBON_EQ	TEB	TOTAL_N	ESP	soil_phosphorus	leaf_phenology	growth_habit	height
Abrus_precatorius	3413	21392	1.92	136.96	0.39	540.28	22.68	9.09	53.84	229.26	30.1	14.24	15.87	24.4	20.54	25.22	19.63	1243.62	240.72	22.92	71.36	632.8	86.76	411.76	172.69	212.48	123.18	58.42	2822.8	313.31	97.64	215.66	234.22	186.18	244.59	172.94	1346.21	268.69	20.62	79.87	704.33	80.01	464.77	164.22	2.08	2.57	16840.61	3.25E+11	13.92	54.37	1.28	36.03	12.17	24.11	9.94	13.53	0.81	0.72	1.29	5.37	1.56	44.36	20.81	1.63	11.87	0.85	4.3	314.92	NA	woody	NA
Acer_yangbiense	7078	21230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	NA
Adiantum_capillus-veneris	6415	24829	33.84	515.43	0.42	470.29	14.62	9.9	39.19	537.63	27.8	3.19	24.61	14.36	16.49	21.35	8.26	798.53	118.54	26.8	45.14	312.79	100.95	191.42	184.37	97.95	107.34	41.82	5443.59	233.07	-28.44	261.51	81.03	121.37	165.84	26.86	862.84	134.15	22.84	50.5	352.91	92.07	182.87	234.24	1.19	3.11	15037.79	2.69E+11	5.85	68.57	1.27	46.37	13.25	21.05	8.15	13.83	0.99	1.47	0.87	6.05	1.52	38.03	27.6	6.23	19.89	0.76	4.26	422.43	NA	NA	NA
Aldrovanda_vesiculosa	743	24380	26.75	235.11	0.34	322.48	13.22	10.12	37.48	678.85	27.48	-1.42	28.9	19.25	7.39	21.19	4.57	837	142.48	23.71	55.84	383.25	83.21	273.78	113.37	53.87	117.7	37.32	8143.94	218.02	-132.16	350.19	123.89	-21.83	149.32	-57.18	849.84	141.72	22.7	57.8	388.88	81.57	274.29	114.66	1.22	2.84	14268.28	2.92E+11	8.72	64.27	1.23	49.82	19.57	20.73	11.09	12.54	0.96	0.73	4.81	5.58	1.53	42.05	27.52	2.67	17.61	1.96	3.33	257.65	NA	herbs	NA
Alsophila_spinulosa	9378	58453	25.07	581.83	0.42	1058.25	18.49	5.81	31.55	443.43	27.13	9.12	18.01	22.56	13.84	23.59	12.78	2506.6	406.61	83.4	55.04	1084.95	279.49	992.47	303.83	142.65	96.92	37.17	5784.16	260.88	1.38	259.5	196.22	75	211.87	63.43	2573.38	423.41	57.72	61.5	1158.89	218.08	1084.23	254.16	1.83	3.28	14523.78	2.69E+11	26.78	42.61	1.35	28.59	10	26.11	8.92	12.33	0.3	1.3	0.74	5.07	1.69	39.41	27.66	0.5	5.29	0.7	2.32	282.92	NA	NA	NA
Amborella_trichopoda	3252	24061	16.75	423.06	0.14	120.28	19	7.23	50.09	240.74	25.66	12.05	13.61	21.47	17.25	21.91	16.03	1788.94	283.29	67.48	44.09	721.12	250.05	699.76	298.39	171.83	87.27	53.45	2640.58	249.72	90.18	159.54	198.12	145.93	204.18	137.04	1477.67	268.5	51.56	56.28	701.76	176.62	666.58	215.62	1.8	3.45	17064.6	7.94E+11	11.66	66.32	1.32	40.97	14.65	30.07	8.46	11.86	0.54	1.79	0.6	5.98	1.74	40.31	23.85	3.17	12.32	0.66	2.12	78.1	D	woody	NA
Anacardium_occidentale	5453	35744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	NA
Ananas_comosus	2313	19853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	NA
Annona_cherimola	9147	32266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	NA
Arabidopsis_lyrata	4716	26357	50.69	499.82	0.25	183.32	2.61	9.2	25.93	980.37	20.95	-14.74	35.69	12.04	-5.71	14.61	-9.25	939.15	125.88	39.44	36.55	344.45	135.45	309.23	167.14	-121.89	94.48	25.6	10641.2	71.52	-310.64	382.16	-26.73	-195.05	15.25	-251.25	931.46	145.76	33.32	48.69	381.62	118.22	300.36	140.91	0.71	3.52	10937.46	1.99E+11	11.26	55.95	1.21	48.12	12.85	14.69	9.25	16.26	0.7	0.89	2.02	5.2	1.37	39.4	30.54	2.09	10.86	1.23	2.08	238.01	NA	herbs	0.1345833
