Species
Abrus precatorius
Adiantum capillus-veneris
Aldrovanda vesiculosa
Alsophila spinulosa
Amborella trichopoda
Arabidopsis lyrata
Arabidopsis suecica
Arabidopsis thaliana
Arachis duranensis
Azolla filiculoides
Bauhinia variegata
Betula pendula
Brachypodium distachyon
Brachypodium sylvaticum
Buddleja alternifolia
Cajanus cajan
Capsella rubella
Capsicum baccatum
Carpinus fangiana
Cephalotus follicularis
Ceratophyllum demersum
Ceratopteris richardii
Ceriops zippeliana
Chiococca alba
Cinnamomum kanehirae
Citrus unshiu
Cleome violacea
Coffea canephora
Corymbia citriodora
Cuscuta australis
Cuscuta campestris
Cycas panzhihuaensis
Cymbidium ensifolium
Descurainia sophioides
Dioscorea zingiberensis
Diptychocarpus strictus
Drosera spatulata
Echinochloa crus-galli
Eutrema salsugineum
Gnetum montanum
Gossypium arboreum
Gossypium darwinii
Ipomoea cairica
Ipomoea nil
Ipomoea triloba
Isoetes taiwanensis
Jacaranda mimosifolia
Kandelia obovata
Leersia perrieri
Lemna minor
Medicago truncatula
Mikania micrantha
Mimulus guttatus
Miscanthus sinensis
Mitragyna speciosa
Nymphaea thermarum
Nymphoides indica
Olyra latifolia
Oryza barthii
Panicum hallii
Paspalum vaginatum
Phyllostachys edulis
Pinus lambertiana
Populus euphratica
Populus trichocarpa
Populus wilsonii
Primula veris
Prunus mume
Pseudotsuga menziesii
Quercus lobata
Quercus mongolica
Quercus rubra
Rhododendron simsii
Rosa chinensis
Salix brachista
Salix purpurea
Salvia hispanica
Salvinia cucullata
Schrenkiella parvula
Selaginella moellendorffii
Sequoia sempervirens
Setaria viridis
Solanum pennellii
Solanum stenotomum
Spirodela intermedia
Spirodela polyrhiza
Striga asiatica
Striga hermonthica
Taxus wallichiana
Tetracentron sinense
Thlaspi arvense
Thuja plicata
Torreya grandis
Tripterygium wilfordii
Utricularia gibba
Utricularia reniformis
Vigna mungo
Vitis riparia
Zostera marina
Acer yangbiense
Citrus clementina
Lindenbergia luchunensis
