# The GO term enrichments of genes in TD-derived families. The significance level is shown as negative log10(FDR). When the significance level is greater than 300, it is set as 300. The TD- and WGD-derived families are distinguished by blue and red backgrounds.

GO_ID	GO_name	Selaginella_moellendorffii	Adiantum_capillus-veneris	Ceratopteris_richardii	Cycas_panzhihuaensis	Torreya_grandis	Taxus_wallichiana	Amborella_trichopoda	Annona_cherimola	Dioscorea_zingiberensis	Elaeis_guineensis	Oryza_sativa	Setaria_italica	Sorghum_bicolor	Zea_mays	Nelumbo_nucifera	Vitis_vinifera	Arabidopsis_thaliana	Theobroma_cacao	Populus_trichocarpa	Glycine_max	Prunus_mume	Malus_domestica	Rhododendron_simsii	Helianthus_annuus	Daucus_carota	Coffea_arabica	Solanum_lycopersicum	Beta_vulgaris
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	265.1416513	168.9441891	216.1643204	218.7946939	300	300	148.3458087	300	170.1364047	165.372145	179.071961	188.5225054	193.5044761	220.8617689	147.0159418	207.5506156	199.1331751	167.423873	213.3637182	300	143.040458	260.2638075	175.2483904	300	207.7350689	300	202.7323027	137.2211328
GO:0005506	iron ion binding	253.9106772	163.9131426	207.0463294	193.8291671	300	300	135.3315602	300	144.0998241	141.0585348	165.4298205	170.7209002	173.280196	202.9672147	121.5493768	184.6256359	176.6218147	143.409831	186.6741429	263.1141799	117.5486574	228.1668348	163.8620738	300	185.3312912	300	168.086625	112.7607707
GO:0020037	heme binding	220.7478079	151.1384376	174.4026197	164.029493	283.3474919	300	117.1253983	298.5167037	136.0846816	125.0700491	137.2463543	143.184131	149.1534654	172.500178	101.6485065	169.9258065	158.229375	132.075569	164.1977183	225.3275581	105.953623	205.9739424	151.3307626	284.9120646	169.1167726	276.3534175	145.9817115	95.83249926
GO:0046906	tetrapyrrole binding	214.0054533	131.1078793	151.3840979	155.9457053	258.506525	300	110.5806236	292.4672184	131.2922809	120.8123727	130.9167441	137.7539116	143.0236942	165.1277933	97.3296047	164.3803163	152.6197725	128.552533	155.7009645	216.2019106	101.4546898	198.6969572	146.802077	257.2050399	161.4659142	270.339756	141.2056119	90.60990439
GO:0004497	monooxygenase activity	218.7211848	126.920326	155.9345915	126.1605116	210.7753681	272.9064873	84.3739302	229.2785676	100.3976258	95.51234291	87.51171867	97.44987076	111.1820201	137.7259978	82.251148	144.7335099	112.851563	105.0377473	141.1638466	197.3635835	89.49535067	156.5792965	135.3175123	197.3033556	122.5156147	229.0952671	116.6008422	72.40262773
GO:0003824	catalytic activity	47.64393946	38.62588674	38.40724874	40.24576662	42.16970998	52.0029908	27.13587581	66.19101408	34.8368852	44.11686493	40.11898443	47.0628724	47.13982582	52.58955742	35.842905	40.4827149	76.13576692	44.93258119	64.69360242	84.35368236	38.73752199	54.97464247	48.27311269	76.93748073	47.80924633	62.67666859	50.85801302	35.53778696
GO:0016491	oxidoreductase activity	141.1858386	73.52229138	82.30614266	112.0702323	144.7533744	190.4432269	69.1170947	164.2189418	76.77521596	73.11309595	68.78555749	77.73923263	82.30116603	104.9851134	64.50120467	93.85712233	112.9688197	76.82085142	82.35270829	159.7394547	58.93524648	117.1980744	79.09566512	155.484981	102.3304162	175.0875958	106.3847857	60.42353559
GO:0006952	defense response	31.23893121	18.58967847	29.65015096	37.73885854	92.12769979	77.59579446	30.13424176	53.63843646	72.06793089	55.40268256	95.891554	78.06651954	60.6029697	46.55586783	38.36755492	60.29908453	51.39945799	47.09608592	56.38134304	94.60480818	77.88022719	148.0047213	30.01261181	83.04203051	21.94889416	151.5624125	32.61160878	34.83223899
GO:0043167	ion binding	46.08686896	40.42460098	62.48363191	44.41284351	144.5021585	125.6173658	55.3021456	131.6602387	103.1834839	74.12729519	131.6631942	123.3851156	109.8140927	78.09006555	70.57690257	100.1004789	116.9580647	86.60263826	121.4538547	151.115658	96.91064521	160.6499076	67.70720279	161.2666513	75.01789879	258.8399429	78.87434214	54.63445685
GO:0006468	protein phosphorylation	23.38051129	50.85686182	60.85435344	54.1927176	70.54411597	62.88206334	35.02771795	70.30805918	77.78458106	112.7116329	122.3318566	132.1815055	103.3817035	98.09162658	101.1110122	72.2736353	80.17898884	83.50291867	158.4902294	169.9644193	88.43592238	131.0848629	117.0643763	118.1403972	80.97568234	161.1309686	61.97539555	76.07689096
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	145.2806711	66.35620976	81.9823728	78.84986067	144.3807033	199.3044011	46.44863033	173.9260259	70.51467774	59.32930867	50.90873433	59.0377753	67.75160108	75.97360988	45.10888193	92.57079022	68.59278398	70.59521764	92.07187942	133.9754421	49.4357954	84.02848592	97.03147001	142.6131389	78.45057947	157.9102811	72.39301246	41.89019673
GO:0004672	protein kinase activity	21.93548364	47.34581113	56.85415302	50.63699754	63.27318212	56.34204653	32.97085474	64.29984705	71.87814514	102.6433133	93.88149275	95.03276823	77.30287638	86.00872135	87.4473939	61.99443	76.1210536	76.88535892	152.7999961	164.1492898	85.53988784	135.2631484	116.1241894	112.4064218	76.13111123	132.9101317	61.14214757	70.9043865
GO:0016310	phosphorylation	19.03494496	45.04119397	54.26089042	47.11032118	61.94331711	54.57454297	30.37421606	63.25561448	69.68935604	101.626662	112.4281015	120.9546375	94.17114097	87.95093923	92.28581279	64.41895013	74.01240077	76.16568184	145.9791202	153.4852092	80.55893064	118.1740675	108.5776264	107.7388273	72.1923361	147.3138702	55.2511687	68.96470531
GO:0016301	kinase activity	14.48790835	41.14347063	50.17541041	43.63397102	57.16754326	48.18882072	28.3671969	58.02546441	68.47188238	92.23421595	93.52237108	93.68082783	77.03008589	80.80538866	81.63632044	60.34470145	86.71907193	85.81499707	146.0348143	153.9760202	84.92359522	124.2895305	106.3201234	106.050619	82.51403067	123.7940761	60.24568758	65.83354251
GO:0016740	transferase activity	57.98466275	51.42361994	47.78975655	48.83863624	62.43793817	59.45551817	39.43282362	85.45101567	59.76013547	72.03093497	80.11659953	87.0480107	78.37883967	78.89716817	61.06858807	65.42505303	83.82241469	71.77768861	119.9156228	133.6789982	78.11055003	96.75729431	80.91982676	105.2288319	63.15854119	108.7487605	62.70369287	60.26708649
GO:0016773	phosphotransferase activity, alcohol group as acceptor	16.01486218	39.77531488	49.18876662	43.57093928	54.51543804	47.42156716	27.2230558	54.23199808	62.02446529	89.78566908	81.96911017	82.66746192	65.97022311	74.30123345	76.37697375	53.39086155	66.26369012	68.01256289	137.0553016	143.1313862	75.80821087	118.7229831	105.3489438	100.5572435	66.26135111	115.9780221	52.87821641	61.62615753
GO:0046914	transition metal ion binding	73.8718652	54.89491303	68.01580838	47.74581116	111.2482165	136.5427895	49.59800097	150.7236167	43.72140169	39.17394631	54.63928665	59.90708493	63.15353719	79.78763453	31.91455332	59.13148	82.9617375	50.79775574	58.63188535	87.40163651	28.55078731	71.70398501	48.79556255	133.6763176	76.24820739	96.03220981	60.9755739	36.16539904
GO:0008194	UDP-glycosyltransferase activity	100.8499615	68.10250252	53.72470647	60.83711352	88.08609373	56.30908331	51.41706219	105.5633343	56.3702414	46.53485145	60.26230846	77.98629165	69.81153221	60.54981771	30.37556482	74.89537554	58.63449345	52.48585868	77.90534046	91.5848715	64.5910972	76.79443175	45.31255776	104.2696368	41.50910119	129.8728181	71.09372111	53.99784234
