EER90453	GO:0005739	GO:0098542	GO:0046658	GO:0009506	GO:0003674																																															
EER93047	GO:0005096	GO:0005739	GO:0090630																																																	
OQU90570	GO:0005739	GO:0042626	GO:0140359	GO:0000302	GO:0005886	GO:0042908																																														
EER90454	GO:0009407	GO:0006749	GO:0004364	GO:0005737	GO:0009536	GO:0005777																																														
EER93049	GO:0003674	GO:1901701	GO:0005737	GO:0009536	GO:0009941																																															
EER93051	GO:0005739	GO:0009451	GO:0003723	GO:0043231	GO:0008270																																															
EER90457	GO:0003674	GO:0009507	GO:0009416																																																	
OQU90580	GO:0003674	GO:0005634	GO:0005886	GO:0040007	GO:0010629	GO:0008104	GO:0010243	GO:0048507																																												
KXG37070	GO:0006974	GO:0009909	GO:0071217	GO:0009944	GO:1902066	GO:2000024	GO:0010044	GO:0009793	GO:0048359	GO:0005515	GO:0009620	GO:0005634	GO:0006979	GO:0009733	GO:0045893	GO:0048358	GO:0045892	GO:0009617	GO:0047484	GO:0001666	GO:0009414	GO:0006355	GO:0010272	GO:0080001	GO:0045995	GO:1901001	GO:0046898	GO:0009908	GO:0009827	GO:0010192	GO:1902183	GO:0003714	GO:0010393	GO:1902074	GO:0009624	GO:0009611	GO:0003713	GO:0010073														
EER93053	GO:0004672	GO:0006468	GO:0004712	GO:0005634	GO:0005737	GO:0007165																																														
EER90459	GO:0048767	GO:0048467	GO:0031267	GO:0051645	GO:0030048	GO:0005634	GO:0015629	GO:0010090	GO:0005829	GO:0007015	GO:0051015	GO:0090436	GO:0003774	GO:0030742	GO:0031982	GO:0005777	GO:0060151	GO:0016459	GO:0000146	GO:0005515	GO:0051646	GO:0005737	GO:0030050																													
EER90460	GO:1901701	GO:0009651	GO:1901605	GO:0050832	GO:0009737	GO:0009414	GO:0005737	GO:0010150	GO:0044248	GO:0032870	GO:0009404	GO:0042742	GO:0002376	GO:0006970	GO:1901565	GO:0007165	GO:0031347	GO:0050736																																		
EER90461	GO:0010102	GO:0004252	GO:0009733	GO:0005576																																																
EER90462	GO:0005634	GO:0009867	GO:0009873	GO:0003677	GO:0006355	GO:0003700	GO:0006952	GO:0005515	GO:0005622	GO:0000976																																										
KXG37072	GO:0005634	GO:0010035	GO:0003713	GO:0045893	GO:0009738	GO:0005739																																														
EER90463	GO:0006470	GO:0005737	GO:0017018	GO:0004722	GO:0005634	GO:0000164																																														
OQU90586	GO:0043455	GO:0045893	GO:0030154	GO:0044550	GO:0006790	GO:0000902	GO:2000652	GO:0009507	GO:0003674																																											
EER90465	GO:0005737	GO:0016579	GO:0006508	GO:0004843																																																
EER90466	GO:0009570	GO:0009941	GO:0009507	GO:0009793	GO:0009658	GO:0022626	GO:0009579	GO:0010319	GO:0042026	GO:0050821	GO:0006457	GO:0005739	GO:0005777	GO:0005515	GO:0048046																																					
